"task","consensus","authority","N_total","N_initially_correct","N_initially_wrong","Base_accuracy_pct","Revision_rate_pct","Harmful_rate_pct","Beneficial_rate_pct","Mean_delta_C","Run_agreement_pct"
"arc_challenge","mixed","absent",4971,4185,786,84.188292094146,19.7746932206799,14.8864994026284,32.824427480916,-0.61637497485416,98.2317073170732
"arc_challenge","mixed","present",4971,4185,786,84.188292094146,25.5079460873064,21.4575866188769,31.8066157760814,-0.638704486018899,98.2926829268293
"arc_challenge","unanimous correct","absent",4971,4185,786,84.188292094146,37.3365520016093,31.2066905615293,46.0559796437659,-0.535103600885142,97.9268292682927
"arc_challenge","unanimous correct","present",4971,4185,786,84.188292094146,36.4514182257091,30.0597371565113,48.9821882951654,-0.438141219070609,97.7439024390244
"arc_challenge","unanimous wrong","absent",4971,4185,786,84.188292094146,57.0106618386643,57.4671445639188,13.7404580152672,-0.531683765841871,97.6829268292683
"arc_challenge","unanimous wrong","present",4971,4185,786,84.188292094146,61.2150472741903,61.4097968936679,12.9770992366412,-0.520016093341378,98.0487804878049
"geometric_shapes","mixed","absent",2762,568,2194,20.5648081100652,43.8450398262129,2.2887323943662,34.9134001823154,0.0637219406227449,96.9128996692393
"geometric_shapes","mixed","present",2762,568,2194,20.5648081100652,46.2708182476466,4.22535211267606,31.0847766636281,-0.0803765387400401,96.2513781697905
"geometric_shapes","unanimous correct","absent",2762,568,2194,20.5648081100652,51.5568428674873,1.05633802816901,48.4047402005469,-0.188993482983335,97.1334068357222
"geometric_shapes","unanimous correct","present",2762,568,2194,20.5648081100652,56.6980448950036,2.64084507042254,53.0082041932543,0.12237509051412,97.0231532524807
"geometric_shapes","unanimous wrong","absent",2762,568,2194,20.5648081100652,60.6806661839247,56.1619718309859,0.683682771194166,-0.45293265749458,97.2436604189636
"geometric_shapes","unanimous wrong","present",2762,568,2194,20.5648081100652,62.1650977552498,50,0.182315405651778,-0.346125995655298,97.0231532524807
"logical_deduction_seven_objects","mixed","absent",2964,1368,1596,46.1538461538462,38.9676113360324,14.546783625731,31.328320802005,-0.481106612685563,96.2474645030426
"logical_deduction_seven_objects","mixed","present",2964,1368,1596,46.1538461538462,41.6666666666667,21.4181286549708,26.8796992481203,-0.487516869095813,96.9574036511156
"logical_deduction_seven_objects","unanimous correct","absent",2964,1368,1596,46.1538461538462,53.1039136302294,26.9736842105263,45.1754385964912,-0.80870445344128,96.6531440162272
"logical_deduction_seven_objects","unanimous correct","present",2964,1368,1596,46.1538461538462,53.3400809716599,25.5116959064327,48.4962406015038,-0.656545209176791,97.7687626774848
"logical_deduction_seven_objects","unanimous wrong","absent",2964,1368,1596,46.1538461538462,69.5006747638327,70.9795321637427,6.64160401002506,-1.01349527665317,96.9574036511156
"logical_deduction_seven_objects","unanimous wrong","present",2964,1368,1596,46.1538461538462,68.89338731444,69.5175438596491,5.13784461152882,-0.85256410256409,97.3630831643002
"mmlu_pro","mixed","absent",5622,1930,3692,34.3294201351832,43.0096051227321,16.6321243523316,39.4366197183099,-0.0750622554251196,97.1505376344086
"mmlu_pro","mixed","present",5622,1930,3692,34.3294201351832,45.2508004268943,18.7046632124352,34.4528710725894,-0.102810387762363,97.1505376344086
"mmlu_pro","unanimous correct","absent",5622,1930,3692,34.3294201351832,59.2849519743863,30.6217616580311,54.5503791982665,-0.332977588046938,97.5806451612903
"mmlu_pro","unanimous correct","present",5622,1930,3692,34.3294201351832,59.1960156527926,29.4300518134715,55.8504875406284,-0.234614016364289,98.2258064516129
"mmlu_pro","unanimous wrong","absent",5622,1930,3692,34.3294201351832,68.7299893276414,67.979274611399,4.19826652221018,-0.448239060832448,98.1720430107527
"mmlu_pro","unanimous wrong","present",5622,1930,3692,34.3294201351832,69.672714336535,70.3626943005181,4.55037919826652,-0.399501956599059,97.9569892473118
"temporal_sequences","mixed","absent",2914,1788,1126,61.3589567604667,27.8654770075498,18.2326621923937,30.7282415630551,0.034317089910767,96.7875647668394
"temporal_sequences","mixed","present",2914,1788,1126,61.3589567604667,31.5717227179135,21.8120805369128,32.3268206039076,-0.0274536719286264,96.7875647668394
"temporal_sequences","unanimous correct","absent",2914,1788,1126,61.3589567604667,41.9698009608785,25.1677852348993,51.6873889875666,0.34145504461222,96.4766839378238
"temporal_sequences","unanimous correct","present",2914,1788,1126,61.3589567604667,41.9354838709677,22.7628635346756,56.3943161634103,0.457789979409757,97.5129533678756
"temporal_sequences","unanimous wrong","absent",2914,1788,1126,61.3589567604667,61.7364447494852,66.0514541387025,14.2095914742451,0.126630061770739,96.7875647668394
"temporal_sequences","unanimous wrong","present",2914,1788,1126,61.3589567604667,64.3102264927934,69.1834451901566,14.1207815275311,0.134866163349358,97.2020725388601
"tracking_shuffled_objects_five_objects","mixed","absent",2970,516,2454,17.3737373737374,39.5959595959596,17.4418604651163,28.0766096169519,-0.628619528619521,96.056622851365
"tracking_shuffled_objects_five_objects","mixed","present",2970,516,2454,17.3737373737374,44.983164983165,20.5426356589147,28.1173594132029,-0.631986531986545,95.8543983822042
"tracking_shuffled_objects_five_objects","unanimous correct","absent",2970,516,2454,17.3737373737374,64.983164983165,28.1007751937984,53.3822330888346,-1.02794612794613,97.6744186046512
"tracking_shuffled_objects_five_objects","unanimous correct","present",2970,516,2454,17.3737373737374,66.2289562289562,31.2015503875969,55.2974735126324,-0.934343434343443,97.0677451971688
"tracking_shuffled_objects_five_objects","unanimous wrong","absent",2970,516,2454,17.3737373737374,63.3670033670034,66.8604651162791,5.05297473512632,-1.08316498316498,97.5733063700708
"tracking_shuffled_objects_five_objects","unanimous wrong","present",2970,516,2454,17.3737373737374,67.3063973063973,69.9612403100775,7.49796251018745,-0.910774410774417,96.7644084934277
"truthfulqa","mixed","absent",5191,2890,2301,55.6732806780967,29.3007127721056,16.9204152249135,26.3798348544111,-0.332883837410901,98.019801980198
"truthfulqa","mixed","present",5191,2890,2301,55.6732806780967,33.0379502985937,22.7335640138408,26.6405910473707,-0.359083028318246,98.019801980198
"truthfulqa","unanimous correct","absent",5191,2890,2301,55.6732806780967,47.13927952225,27.2318339100346,53.4984789222077,-0.194567520708922,97.6121141525917
"truthfulqa","unanimous correct","present",5191,2890,2301,55.6732806780967,47.5052976305144,26.8512110726644,54.7588005215124,-0.0724330572144066,98.3110075713454
"truthfulqa","unanimous wrong","absent",5191,2890,2301,55.6732806780967,60.6434213061067,62.0069204152249,15.2976966536289,-0.161240608745919,98.019801980198
"truthfulqa","unanimous wrong","present",5191,2890,2301,55.6732806780967,62.2616066268542,64.083044982699,15.0803998261625,-0.13292236563283,98.5439720442633
